Iteration,Loss,BPC,Time (ms),MFU
152,7.5076,10.8312,4841.51,4.82
153,7.4413,10.7355,4835.3,4.82
154,7.5586,10.9047,4837.8,4.82
155,7.389,10.6601,4838.98,4.83
156,7.6502,11.0369,4839.35,4.83
157,7.5406,10.8788,4838.45,4.83
158,7.2533,10.4644,4856.78,4.83
159,7.1981,10.3847,4859.94,4.83
160,7.4132,10.695,4838.4,4.83
161,7.1199,10.2718,4865.97,4.83
162,7.3936,10.6667,4870.08,4.83
163,7.5869,10.9456,4862.78,4.83
164,7.2044,10.3938,4877.65,4.82
165,7.1708,10.3453,4878.5,4.82
166,6.8676,9.9079,4876.96,4.82
167,7.0697,10.1994,4893.14,4.82
168,7.1931,10.3775,4891.61,4.81
169,7.1358,10.2948,4876.04,4.81
170,7.2408,10.4462,4870.79,4.81
171,7.1612,10.3314,4869.51,4.81
172,7.1582,10.3271,4855.55,4.81
173,6.8129,9.8289,4870.94,4.81
174,7.0597,10.1849,4865.5,4.81
175,7.0306,10.143,4857.39,4.82
176,7.2156,10.4098,4871.2,4.82
177,6.9093,9.968,4878.56,4.81
178,6.8249,9.8462,4860.82,4.81
179,6.8194,9.8383,4870.55,4.81
180,6.5954,9.5151,4872.66,4.81
181,6.818,9.8363,4851.63,4.82
182,7.0021,10.1019,4877.21,4.81
183,7.0309,10.1434,4878.13,4.81
184,6.2985,9.0868,4861.72,4.81
185,7.2552,10.4671,4874.66,4.81
186,7.0258,10.1361,4877.52,4.81
187,6.4554,9.3132,4868.18,4.81
188,7.295,10.5244,4871.36,4.81
189,6.7154,9.6883,4877.64,4.81
190,7.1237,10.2773,4860.02,4.81
191,6.8398,9.8677,4878.24,4.81
192,6.4243,9.2683,4876.28,4.81
193,6.8207,9.8402,4870.43,4.81
194,6.5094,9.3911,4873.67,4.81
195,6.7508,9.7394,4873.72,4.81
196,6.5974,9.5181,4867.4,4.81
197,6.6377,9.5762,4875.51,4.81
198,7.1092,10.2563,4871.32,4.81
199,6.5639,9.4697,4876.89,4.81
200,6.3697,9.1896,4879.19,4.81
201,6.4106,9.2485,4878.93,4.81
202,6.5659,9.4726,4875.45,4.81
203,6.3306,9.1331,4880.49,4.81
204,6.525,9.4136,4878.31,4.81
205,6.0718,8.7597,4866.92,4.81
206,6.6291,9.5637,4873.67,4.81
207,6.7936,9.8011,4875.75,4.81
208,6.3914,9.2209,4876.84,4.81
209,6.5946,9.514,4880.02,4.81
210,6.4477,9.302,4878.6,4.81
211,6.5533,9.4544,4869.07,4.81
212,6.3063,9.0981,4885.16,4.81
213,6.7793,9.7804,4883.47,4.81
214,6.4004,9.2339,4875.77,4.81
215,6.6274,9.5614,4882.38,4.81
216,6.4572,9.3158,4878.06,4.81
217,6.6857,9.6454,4873.5,4.81
218,6.0722,8.7604,4879.39,4.81
219,6.5176,9.4029,4880.01,4.81
220,6.423,9.2664,4873.27,4.81
221,6.7833,9.7862,4883.03,4.81
222,6.6572,9.6044,4880.19,4.8
223,6.4426,9.2947,4874.36,4.81
224,6.0768,8.7669,4879.88,4.8
225,6.6573,9.6044,4885.05,4.8
226,6.371,9.1914,4872.69,4.8
227,6.0427,8.7178,4878.11,4.8
228,6.5416,9.4376,4884.13,4.8
229,6.6014,9.5238,4873.2,4.8
230,6.7594,9.7517,4878.5,4.8
231,6.2077,8.9558,4875.15,4.8
232,6.297,9.0846,4861.38,4.81
233,6.0517,8.7308,4866.53,4.81
234,6.4896,9.3625,4878.48,4.81
235,6.4374,9.2872,4853.05,4.81
236,6.6719,9.6255,4895.46,4.81
237,6.2277,8.9847,4881.64,4.81
238,6.505,9.3848,4874.62,4.81
239,6.2282,8.9854,4881.45,4.81
240,6.2364,8.9973,4895.09,4.8
241,6.1332,8.8484,4878.8,4.8
242,6.3583,9.1731,4888.02,4.8
243,6.417,9.2577,4882.1,4.8
244,6.1947,8.9371,4881.28,4.8
245,5.8342,8.4169,4885.34,4.8
246,6.2864,9.0693,4878.44,4.8
247,5.7212,8.254,4876.25,4.8
248,6.5203,9.4068,4878.21,4.8
249,6.1984,8.9423,4878.25,4.8
250,6.2719,9.0485,4876.71,4.8
251,6.132,8.8465,4882.04,4.8
252,6.2834,9.0651,4883.39,4.8
253,6.1882,8.9277,4874.85,4.8
254,6.1236,8.8345,4883.2,4.8
255,6.227,8.9836,4888.09,4.8
256,6.2623,9.0347,4869.21,4.8
257,5.7829,8.343,4890.79,4.8
258,6.212,8.9621,4880.65,4.8
259,6.0635,8.7478,4873.56,4.8
260,6.2686,9.0437,4890.44,4.8
261,6.0298,8.6992,4878.08,4.8
262,5.7268,8.262,4870.23,4.8
263,6.0715,8.7593,4880.48,4.8
264,5.7834,8.3436,4876.26,4.8
265,6.1635,8.892,4876.97,4.8
266,5.9914,8.6438,4884.21,4.8
267,6.0386,8.7119,4884.72,4.8
268,6.1318,8.8463,4873.08,4.8
269,5.9751,8.6203,4875.93,4.8
270,5.9744,8.6192,4876.2,4.8
271,5.836,8.4196,4871.22,4.8
272,6.1047,8.8073,4884.74,4.8
273,5.959,8.597,4878.73,4.8
274,5.4884,7.9181,4876.3,4.8
275,6.0663,8.7518,4882.16,4.8
276,5.8035,8.3727,4878.06,4.8
277,5.8167,8.3917,4875.48,4.8
278,6.0974,8.7967,4881.07,4.8
279,5.69,8.209,4881.92,4.8
280,6.1095,8.8141,4873.78,4.8
281,5.8366,8.4204,4886.16,4.8
282,5.2534,7.579,4878.37,4.8
283,5.9586,8.5965,4870.41,4.8
284,5.7634,8.3149,4883.62,4.8
285,5.9173,8.5369,4881.55,4.8
286,5.7087,8.2359,4879.16,4.8
287,5.9149,8.5334,4888.85,4.8
288,5.9587,8.5967,4882.37,4.8
289,6.0303,8.6998,4880.64,4.8
290,6.0989,8.7988,4887.35,4.8
291,5.8873,8.4936,4887.3,4.8
292,5.847,8.4355,4874.37,4.8
293,6.1203,8.8297,4880.02,4.8
294,5.7491,8.2942,4878.23,4.8
295,5.8662,8.4631,4874.73,4.8
296,5.8176,8.393,4883.91,4.8
297,5.5442,7.9986,4882.19,4.8
298,5.8113,8.384,4873.7,4.8
299,5.8813,8.4849,4897.46,4.8
300,5.6865,8.2038,4893.22,4.8
301,5.8177,8.3932,4886.1,4.8
302,5.6342,8.1285,4896.34,4.8
303,5.5771,8.046,4892.25,4.8
304,5.3451,7.7114,4885.6,4.8
305,5.8852,8.4905,4881.92,4.8
306,6.0465,8.7232,4887.3,4.8
307,5.7896,8.3527,4884.88,4.8
308,6.0197,8.6845,4893.63,4.8
309,5.2441,7.5657,4890.14,4.8
310,5.472,7.8945,4891.27,4.8
311,6.0266,8.6946,4884.2,4.8
312,5.7128,8.2418,4881.85,4.8
313,5.5708,8.037,4870.31,4.8
314,5.9777,8.6241,4879.54,4.8
315,5.5796,8.0496,4877.2,4.8
316,5.6167,8.1032,4876.18,4.8
317,5.6216,8.1103,4885.05,4.8
318,6.0415,8.7161,4882.17,4.8
319,5.3815,7.7639,4871.61,4.8
320,5.3817,7.7641,4884.91,4.8
321,5.7212,8.2539,4890.32,4.8
322,5.8204,8.3971,4880.75,4.8
323,5.8335,8.416,4893.46,4.8
324,5.5516,8.0092,4890.43,4.8
325,5.792,8.3561,4875.31,4.8
326,5.3255,7.683,4878.7,4.8
327,5.6384,8.1345,4872.68,4.8
328,5.5402,7.9928,4858.83,4.8
329,5.6136,8.0988,4877.58,4.8
330,5.746,8.2897,4880.43,4.8
331,5.5091,7.948,4863.6,4.8
332,5.5713,8.0377,4871.99,4.81
333,5.2341,7.5512,4879.72,4.8
334,5.7785,8.3366,4876.34,4.81
335,5.9182,8.5382,4879.14,4.8
336,5.848,8.4368,4878.19,4.8
337,5.2192,7.5297,4875.77,4.81
338,5.5114,7.9513,4882.41,4.8
339,5.5079,7.9463,4879.84,4.8
340,5.3084,7.6584,4877.35,4.8
341,5.0462,7.2801,4880.2,4.8
342,5.7361,8.2754,4882.67,4.8
343,5.5437,7.9979,4871.88,4.8
344,5.3279,7.6865,4879.28,4.8
345,5.2057,7.5102,4882.87,4.8
346,5.7003,8.2238,4873.35,4.8
347,5.3392,7.7028,4880.39,4.8
348,5.5375,7.989,4883.06,4.8
349,5.6888,8.2072,4871.91,4.8
350,5.9388,8.5678,4884.35,4.8
351,5.0639,7.3057,4883.39,4.8
352,5.085,7.336,4875.59,4.8
353,5.5422,7.9957,4889.46,4.8
354,5.3286,7.6876,4885.23,4.8
355,5.0509,7.2869,4875.62,4.8
356,5.4241,7.8254,4893.83,4.8
357,5.2908,7.633,4889.16,4.8
358,5.3214,7.6772,4879.54,4.8
359,5.2603,7.589,4887.88,4.8
360,5.1352,7.4085,4888.73,4.8
361,5.67,8.1801,4886.83,4.8
362,5.562,8.0242,4888.44,4.8
363,5.5957,8.0729,4889.21,4.8
364,5.1379,7.4124,4880.86,4.8
365,5.6367,8.1321,4884.29,4.8
366,6.0041,8.6621,4890.25,4.8
367,5.5304,7.9787,4880.07,4.8
368,5.0812,7.3306,4883.29,4.8
369,4.9152,7.0911,4883.31,4.8
370,5.1098,7.3719,4879.63,4.8
371,4.9966,7.2085,4886.66,4.8
372,5.2002,7.5023,4883.43,4.8
373,5.6326,8.1262,4875.54,4.8
374,5.3578,7.7297,4886.1,4.8
375,5.5683,8.0333,4890.0,4.8
376,5.0812,7.3306,4877.52,4.8
377,5.2093,7.5155,4882.24,4.8
378,5.3055,7.6542,4882.4,4.8
379,4.8916,7.0571,4873.33,4.8
380,5.5085,7.9471,4887.46,4.8
