Iteration,Loss,BPC,Time (ms),MFU
152,7.4226,10.7086,6499.17,7.36
153,7.2535,10.4646,6458.95,7.37
154,7.3483,10.6014,6436.43,7.38
155,7.4437,10.7389,6471.61,7.39
156,7.4417,10.7362,6476.45,7.39
157,7.3452,10.5969,6484.79,7.4
158,7.4646,10.7692,6488.27,7.4
159,7.056,10.1797,6500.66,7.4
160,7.1561,10.3241,6521.38,7.4
161,7.3258,10.5689,6519.38,7.4
162,7.216,10.4105,6517.43,7.4
163,7.2924,10.5207,6519.83,7.39
164,7.2169,10.4117,6522.22,7.39
165,7.3114,10.5481,6528.78,7.39
166,7.1609,10.3309,6517.04,7.39
167,7.2356,10.4387,6519.97,7.39
168,6.8881,9.9374,6521.66,7.39
169,7.4204,10.7054,6497.36,7.39
170,7.2093,10.4008,6478.46,7.39
171,6.7381,9.721,6437.59,7.4
172,7.0075,10.1097,6452.34,7.41
173,7.0039,10.1045,6448.68,7.41
174,7.2593,10.473,6466.0,7.42
175,6.8034,9.8153,6477.7,7.42
176,6.9004,9.9552,6493.06,7.42
177,7.2904,10.5179,6507.44,7.42
178,6.9978,10.0957,6499.76,7.42
179,6.8822,9.929,6516.46,7.41
180,6.9349,10.005,6523.83,7.41
181,6.8587,9.895,6525.17,7.41
182,7.2012,10.3892,6529.4,7.4
183,6.8232,9.8438,6536.32,7.4
184,6.8313,9.8554,6552.42,7.39
185,6.9595,10.0404,6579.55,7.39
186,6.2714,9.0477,6592.26,7.38
187,6.7175,9.6913,6567.97,7.37
188,6.384,9.2102,6538.88,7.37
189,6.9481,10.024,6513.25,7.37
190,6.9849,10.0771,6499.08,7.38
191,6.919,9.982,6505.89,7.38
192,6.1504,8.8732,6532.39,7.38
193,7.044,10.1623,6557.35,7.37
194,6.7521,9.7412,6583.23,7.37
195,6.3255,9.1257,6625.3,7.36
196,6.7171,9.6908,6617.39,7.35
197,6.5006,9.3783,6583.78,7.35
198,6.2898,9.0742,6478.73,7.35
199,6.5266,9.416,6405.79,7.37
200,6.76,9.7526,6299.67,7.4
201,6.2077,8.9558,6230.46,7.43
202,6.7713,9.7689,6174.7,7.47
203,6.8553,9.8901,6140.21,7.5
204,6.1608,8.8882,6118.98,7.54
205,6.7238,9.7003,6123.84,7.57
206,6.6235,9.5556,6113.7,7.6
207,6.6915,9.6538,6098.14,7.63
208,6.4604,9.3204,6119.18,7.66
209,6.4933,9.3679,6103.35,7.68
210,6.315,9.1107,6116.21,7.7
211,6.5211,9.4079,6117.9,7.71
212,6.2252,8.9811,6124.55,7.73
213,6.3693,9.189,6146.82,7.74
214,6.6042,9.5279,6178.0,7.74
215,6.5166,9.4015,6221.74,7.74
216,6.3188,9.1161,6239.28,7.74
217,6.3908,9.22,6277.99,7.73
218,6.2248,8.9805,6339.43,7.72
219,6.6162,9.5452,6377.37,7.7
220,6.3448,9.1537,6401.05,7.68
221,6.3268,9.1277,6418.33,7.67
222,6.4157,9.2558,6499.41,7.64
223,6.3572,9.1716,6521.87,7.61
224,6.5824,9.4963,6561.06,7.59
225,6.504,9.3833,6613.35,7.56
226,6.3582,9.173,6581.43,7.53
227,6.0359,8.708,6536.47,7.51
228,6.13,8.8438,6519.27,7.5
229,6.1904,8.9309,6509.38,7.49
230,6.3488,9.1594,6505.6,7.48
231,6.6069,9.5318,6517.0,7.47
232,6.0822,8.7748,6539.82,7.46
233,6.4097,9.2472,6566.08,7.45
234,6.3157,9.1116,6612.29,7.43
235,6.3185,9.1157,6590.63,7.42
236,6.3603,9.1759,6525.29,7.41
237,6.0747,8.7639,6475.07,7.42
238,6.2803,9.0606,6459.86,7.42
239,6.0358,8.7078,6441.18,7.43
240,6.3417,9.1491,6432.27,7.43
241,6.1325,8.8474,6433.3,7.44
242,6.3089,9.1018,6442.83,7.44
243,6.1174,8.8255,6471.46,7.44
244,6.2683,9.0433,6501.51,7.44
245,6.1383,8.8556,6541.06,7.43
246,6.52,9.4064,6594.6,7.42
247,6.3758,9.1983,6609.56,7.4
248,6.4729,9.3384,6582.1,7.39
249,6.221,8.975,6584.98,7.39
250,6.402,9.2361,6568.02,7.38
251,6.0767,8.7668,6566.35,7.37
252,5.6346,8.1291,6560.32,7.37
253,6.3226,9.1216,6510.12,7.37
254,6.1447,8.8649,6454.65,7.38
255,6.0848,8.7786,6415.63,7.39
256,6.269,9.0442,6417.45,7.4
257,6.2316,8.9902,6378.7,7.42
258,6.2725,9.0492,6362.87,7.43
259,6.0604,8.7433,6348.6,7.45
260,6.0494,8.7274,6361.84,7.46
261,5.7022,8.2265,6368.16,7.47
262,5.938,8.5668,6389.17,7.48
263,6.0503,8.7287,6397.35,7.48
264,5.8295,8.4102,6418.31,7.48
265,6.0611,8.7443,6432.34,7.48
266,6.1434,8.8631,6445.41,7.48
267,5.8284,8.4086,6515.33,7.47
268,5.4083,7.8025,6557.51,7.46
269,6.2023,8.948,6611.63,7.44
270,5.6844,8.2008,6628.66,7.42
271,5.9669,8.6084,6515.43,7.42
272,5.9195,8.54,6447.36,7.42
273,5.8147,8.3889,6407.02,7.43
274,6.2291,8.9868,6415.08,7.44
275,5.9797,8.6269,6380.12,7.45
276,5.8235,8.4015,6336.76,7.47
277,5.1796,7.4726,6359.9,7.48
278,5.7395,8.2803,6344.01,7.49
279,5.575,8.043,6370.28,7.49
280,5.9485,8.5819,6365.97,7.5
281,5.9929,8.6459,6396.5,7.5
282,5.8337,8.4162,6412.7,7.5
283,5.9318,8.5578,6428.31,7.5
284,6.0619,8.7455,6415.16,7.5
285,6.2456,9.0106,6419.61,7.5
286,5.8714,8.4706,6441.42,7.5
287,5.9311,8.5568,6476.5,7.49
288,5.8269,8.4064,6493.71,7.48
289,6.0722,8.7603,6517.02,7.47
290,5.3329,7.6938,6562.59,7.46
291,5.8143,8.3882,6622.17,7.44
292,5.9963,8.6508,6610.03,7.43
293,5.6643,8.1719,6543.63,7.42
294,6.1186,8.8273,6475.46,7.42
295,5.747,8.2912,6436.12,7.43
296,5.8318,8.4136,6416.69,7.43
297,5.8982,8.5092,6410.84,7.44
298,5.617,8.1036,6417.83,7.45
299,5.5622,8.0246,6419.72,7.45
300,5.8524,8.4433,6417.29,7.46
301,5.5365,7.9874,6423.55,7.46
302,5.6613,8.1675,6420.95,7.46
303,5.988,8.6388,6420.39,7.47
304,5.8785,8.4808,6415.85,7.47
305,5.9586,8.5964,6455.61,7.47
306,6.0078,8.6674,6473.36,7.47
307,5.7687,8.3225,6526.49,7.46
308,5.4475,7.859,6548.5,7.45
309,5.9922,8.6449,6598.63,7.43
310,5.7463,8.2901,6557.39,7.42
311,5.717,8.2478,6498.57,7.42
312,5.6389,8.1351,6443.37,7.43
313,5.4974,7.9311,6417.21,7.43
314,5.6197,8.1075,6421.04,7.44
315,5.8835,8.4881,6416.49,7.45
316,5.9594,8.5976,6420.42,7.45
317,5.8043,8.3738,6415.32,7.46
318,5.642,8.1397,6422.1,7.46
319,5.7572,8.3059,6456.9,7.46
320,5.5406,7.9933,6491.14,7.46
321,5.0672,7.3104,6541.7,7.45
322,5.6988,8.2216,6603.12,7.43
323,5.6869,8.2045,6611.9,7.42
324,5.6192,8.1068,6598.68,7.4
325,5.662,8.1685,6605.04,7.39
326,5.6123,8.0968,6588.32,7.38
327,5.7311,8.2683,6579.6,7.38
328,5.7892,8.352,6580.7,7.37
329,5.6115,8.0956,6556.8,7.37
330,5.5145,7.9557,6539.59,7.37
331,5.1655,7.4522,6550.31,7.37
332,5.2923,7.6351,6521.7,7.37
333,5.6797,8.1941,6437.62,7.38
334,5.5259,7.9723,6417.83,7.39
335,5.8494,8.4389,6391.46,7.4
336,5.1873,7.4837,6376.04,7.42
337,5.6281,8.1196,6338.45,7.44
338,5.6176,8.1045,6344.04,7.45
339,5.0962,7.3523,6339.5,7.47
340,5.8047,8.3744,6330.04,7.48
341,5.5182,7.961,6358.3,7.49
342,5.6389,8.1352,6359.66,7.5
343,5.6375,8.1333,6377.68,7.5
344,5.304,7.652,6419.82,7.5
345,5.5106,7.9502,6426.19,7.5
346,5.5545,8.0135,6471.04,7.49
347,5.5518,8.0096,6523.42,7.48
348,5.269,7.6015,6569.0,7.47
349,5.7772,8.3347,6579.69,7.45
350,5.6551,8.1585,6568.32,7.44
351,5.787,8.3489,6578.92,7.43
352,4.9743,7.1765,6555.15,7.42
353,5.4587,7.8752,6457.41,7.42
354,5.952,8.5869,6406.04,7.43
355,5.2296,7.5447,6361.36,7.45
356,5.3939,7.7817,6337.43,7.46
357,5.3465,7.7133,6296.98,7.48
358,5.6337,8.1278,6275.18,7.5
359,5.6839,8.2001,6261.17,7.52
360,5.7719,8.327,6280.3,7.53
361,5.404,7.7963,6274.1,7.55
362,5.1508,7.4311,6266.33,7.56
